EstimateRequestedDate,ProgramSourceDescription
2/28/2023,Direct Mail
4/18/2023,Google
4/3/2023,Google
2/26/2023,Google
3/23/2023,DM - OAK
4/26/2023,Google
3/9/2023,DM - BIRCH
3/13/2023,Facebook
3/30/2023,Google
4/4/2023,Google
4/18/2023,Lawn Sign
5/15/2023,Referral
3/29/2023,DM - CHESTNUT
3/30/2023,Google
4/7/2023,Facebook
4/11/2023,DM - OAK
3/7/2023,Direct Mail
4/11/2023,Google
3/8/2023,Referral
3/22/2023,Email
2/16/2023,Google
4/22/2023,Google
3/15/2023,Google
3/21/2023,Direct Mail
4/14/2023,Email
3/25/2023,Direct Mail
4/7/2023,Referral
3/26/2023,Facebook
3/23/2023,Google
3/27/2023,Google
4/11/2023,Google
4/18/2023,DM - ELM
3/7/2023,Truck
3/28/2023,DM - OAK
3/6/2023,Lawn Sign
4/17/2023,Direct Mail
3/8/2023,Referral
4/5/2023,Google
5/16/2023,Google Adwords - Verified
4/3/2023,Direct Mail
3/30/2023,Google
3/8/2023,Google
4/18/2023,Referral
4/7/2023,Direct Mail
3/14/2023,Referral
3/2/2023,Email
4/10/2023,Email
3/4/2023,Referral
2/20/2023,Direct Mail
4/21/2023,Google
3/22/2023,DM - OAK
2/20/2023,Direct Mail
4/19/2023,Referral
4/19/2023,Google
3/23/2023,Facebook
3/16/2023,Facebook
4/13/2023,Referral
4/13/2023,DM - OAK
4/27/2023,Google
4/10/2023,Google
4/19/2023,DM - MAPLE
3/23/2023,DM - OAK
4/25/2023,Email
4/13/2023,Direct Mail
5/16/2023,Google Adwords - Verified
4/17/2023,DM - MAPLE
4/14/2023,Referral
3/24/2023,DM - OAK
5/10/2023,Facebook
3/2/2023,Referral
4/5/2023,Email
5/8/2023,Google
4/6/2023,DM - MAPLE
3/31/2023,DM - OAK
4/3/2023,Direct Mail
3/9/2023,Direct Mail
4/12/2023,DM - MAPLE
2/27/2023,Google
2/21/2023,Email
3/3/2023,Direct Mail
3/29/2023,Email
2/28/2023,Referral
3/27/2023,DM - OAK
3/14/2023,DM - MAPLE
4/11/2023,DM - CHESTNUT
3/27/2023,Google
4/6/2023,Referral
3/31/2023,Google
4/20/2023,Referral
4/19/2023,Email
3/27/2023,Facebook
3/7/2023,Facebook
3/21/2023,Referral
4/30/2023,Google
3/23/2023,Direct Mail
3/24/2023,DM - CHESTNUT
4/24/2023,Google
4/17/2023,Google
3/13/2023,Referral
4/14/2023,Google
3/10/2023,Angi
5/9/2023,Referral
3/16/2023,Referral
4/7/2023,Referral
4/17/2023,Email
3/29/2023,Direct Mail
3/27/2023,Lawn Sign
2/22/2023,Direct Mail
5/15/2023,Google Local
4/18/2023,Facebook
3/29/2023,DM - OAK
4/4/2023,DM - OAK
3/3/2023,Referral
3/20/2023,Facebook
3/31/2023,DM - OAK
4/13/2023,Google Adwords - Verified
3/9/2023,Truck
4/18/2023,Facebook
4/7/2023,Google
5/15/2023,Google
4/18/2023,Google Adwords - Verified
5/2/2023,Google
3/2/2023,Google
3/31/2023,Referral
4/10/2023,Direct Mail
4/17/2023,Google
3/27/2023,Lawn Sign
4/5/2023,Email
4/10/2023,Google
3/21/2023,Facebook
3/5/2023,Facebook
3/20/2023,Angi
3/26/2023,Referral
4/6/2023,DM - OAK
4/14/2023,DM - MAPLE
4/11/2023,DM - MAPLE
2/27/2023,Direct Mail
4/15/2023,Cross Selling GLF/GPS
3/18/2023,Google
4/17/2023,Facebook
3/25/2023,Facebook
3/21/2023,Referral
4/11/2023,Referral
4/4/2023,DM - MAPLE
3/3/2023,Direct Mail
4/4/2023,DM - ELM
2/23/2023,Email
3/1/2023,Google
4/2/2023,Direct Mail
3/19/2023,Lawn Sign
3/7/2023,Google
3/27/2023,Referral
3/23/2023,Lawn Sign
4/2/2023,Facebook
3/5/2023,Facebook
2/28/2023,Facebook
3/17/2023,Google
3/25/2023,DM - OAK
3/22/2023,DM - OAK
4/27/2023,DM - CHESTNUT
5/16/2023,Direct Mail
4/18/2023,Referral
4/14/2023,Email
4/17/2023,Google
4/4/2023,Google Local
3/20/2023,Referral
4/4/2023,Email
3/28/2023,Google
3/30/2023,Direct Mail
3/2/2023,DM - BIRCH
4/8/2023,Direct Mail
2/28/2023,DM - BIRCH
3/15/2023,Facebook
2/27/2023,Direct Mail
3/13/2023,Referral
3/21/2023,Referral
3/2/2023,Direct Mail
2/28/2023,Facebook
3/22/2023,DM - OAK
2/24/2023,Direct Mail
2/26/2023,Google
4/4/2023,Google
4/25/2023,Referral
4/6/2023,Direct Mail
4/24/2023,Email
4/14/2023,Facebook
3/6/2023,Direct Mail
4/21/2023,Google
4/13/2023,Google
3/30/2023,Google
4/11/2023,DM - CHESTNUT
5/16/2023,Referral
4/10/2023,DM - OAK
3/22/2023,DM - OAK
3/23/2023,DM - OAK
5/10/2023,Truck
4/29/2023,Referral
3/19/2023,Facebook
3/18/2023,Truck
2/23/2023,Direct Mail
4/28/2023,DM - WALNUT
4/25/2023,DM - OAK
5/6/2023,Facebook
3/16/2023,Referral
3/21/2023,Email
3/23/2023,Direct Mail
4/14/2023,DM - BIRCH
3/13/2023,Facebook
3/13/2023,Google
3/13/2023,Email
3/8/2023,Email
4/21/2023,Email
2/28/2023,Direct Mail
3/8/2023,Referral
4/17/2023,Google
2/27/2023,Direct Mail
3/31/2023,DM - OAK
4/1/2023,Direct Mail
4/17/2023,Home Advisor
3/2/2023,Facebook
4/17/2023,Google Adwords - Verified
3/21/2023,Facebook
4/29/2023,Google
4/24/2023,DM - OAK
3/17/2023,Google
3/6/2023,Google
2/24/2023,Referral
3/20/2023,Facebook
4/19/2023,Home Advisor
5/2/2023,Referral
3/16/2023,DM - BIRCH
3/17/2023,Google
3/3/2023,Referral
3/3/2023,Direct Mail
3/23/2023,DM - OAK
3/27/2023,Lawn Sign
4/13/2023,Google
4/10/2023,Google
3/21/2023,Angi
4/15/2023,Referral
4/13/2023,Referral
3/16/2023,DM - BIRCH
4/10/2023,Direct Mail
4/13/2023,Google
5/1/2023,Referral
4/7/2023,Google
3/29/2023,Truck
5/16/2023,Google Adwords - Verified
4/2/2023,DM - CHESTNUT
4/7/2023,Google
2/28/2023,Direct Mail
4/5/2023,Referral
3/31/2023,Direct Mail
4/19/2023,Truck
2/28/2023,Direct Mail
2/28/2023,Referral
5/8/2023,Google
3/6/2023,Google
3/15/2023,Direct Mail
4/3/2023,Home Advisor
3/2/2023,Facebook
4/19/2023,Google Local
4/12/2023,DM - OAK
3/27/2023,Google
4/19/2023,Google
3/6/2023,DM - BIRCH
4/10/2023,Best Pick Reports
5/11/2023,Referral
4/6/2023,Referral
2/23/2023,Email
3/4/2023,DM - BIRCH
4/19/2023,Referral
4/12/2023,Direct Mail
4/12/2023,Google
3/15/2023,Direct Mail
4/16/2023,Home Advisor
4/20/2023,Cross Selling GLF/GPS
3/6/2023,Referral
4/6/2023,Google
4/14/2023,Referral
2/20/2023,Referral
4/12/2023,Referral
3/27/2023,Facebook
4/14/2023,Google
3/22/2023,Referral
3/24/2023,DM - ELM
3/17/2023,Home Advisor
4/6/2023,YouTube
4/18/2023,Lawn Sign
4/4/2023,DM - OAK
3/22/2023,Truck
4/4/2023,DM - OAK
3/31/2023,Angi
4/14/2023,DM - OAK
4/4/2023,Direct Mail
4/19/2023,DM - OAK
3/22/2023,Lawn Sign
3/8/2023,Google
4/24/2023,Lawn Sign
3/20/2023,Direct Mail
4/27/2023,DM - ELM
5/16/2023,Google
4/6/2023,Referral
4/11/2023,Google Adwords - Verified
4/19/2023,Email
2/27/2023,Direct Mail
3/30/2023,Email
2/27/2023,DM - BIRCH
5/5/2023,DM - MAPLE
3/3/2023,Referral
3/29/2023,Google
4/10/2023,Google
4/8/2023,DM - OAK
3/30/2023,Referral
4/6/2023,Email
2/23/2023,Email
3/10/2023,Direct Mail
4/17/2023,Home Advisor
3/6/2023,Referral
3/21/2023,Google
4/28/2023,Referral
4/4/2023,Direct Mail
4/19/2023,Referral
2/27/2023,Direct Mail
3/24/2023,Home Advisor
4/5/2023,Email
3/9/2023,Referral
3/8/2023,Direct Mail
5/15/2023,Google Local
4/26/2023,Referral
3/17/2023,Facebook
4/10/2023,Facebook
3/31/2023,DM - OAK
3/17/2023,DM - BIRCH
4/24/2023,Google
4/3/2023,Google
5/1/2023,Home Advisor
4/17/2023,DM - OAK
2/27/2023,Direct Mail
4/12/2023,Facebook
2/23/2023,Referral
3/21/2023,Google
4/6/2023,DM - OAK
3/23/2023,DM - WALNUT
4/3/2023,DM - OAK
4/4/2023,Email
5/11/2023,Facebook
3/22/2023,Google
4/12/2023,Direct Mail
3/6/2023,Google
4/12/2023,DM - OAK
4/13/2023,DM - MAPLE
2/16/2023,Google
4/17/2023,Facebook
4/12/2023,Referral
2/23/2023,Direct Mail
3/23/2023,Lawn Sign
3/30/2023,Google
3/28/2023,Direct Mail
4/15/2023,Google Adwords - Verified
4/10/2023,Google
5/5/2023,Cross Selling GLF/GPS
3/25/2023,Referral
4/1/2023,DM - OAK
4/5/2023,Direct Mail
4/13/2023,DM - OAK
5/11/2023,Direct Mail
4/4/2023,Email
4/5/2023,Truck
2/22/2023,Google
3/23/2023,Facebook
3/3/2023,Facebook
4/1/2023,DM - ELM
3/3/2023,Direct Mail
3/21/2023,Direct Mail
2/21/2023,Google
5/12/2023,Google
3/11/2023,Google
4/17/2023,Direct Mail
4/5/2023,Angi
2/27/2023,Google
4/26/2023,DM - OAK
4/3/2023,DM - OAK
3/15/2023,Google
3/30/2023,Facebook
4/1/2023,Facebook
3/13/2023,Email
4/16/2023,Direct Mail
4/11/2023,Angi
4/2/2023,Referral
3/9/2023,Referral
2/24/2023,Email
3/26/2023,Direct Mail
3/12/2023,Direct Mail
4/1/2023,DM - OAK
4/14/2023,DM - OAK
4/18/2023,Google
3/1/2023,Facebook
3/27/2023,Direct Mail
2/16/2023,Referral
3/31/2023,Direct Mail
3/30/2023,Google
4/3/2023,DM - OAK
4/11/2023,DM - OAK
4/3/2023,DM - OAK
4/3/2023,Direct Mail
3/1/2023,Google
5/7/2023,Google
4/7/2023,Google
2/27/2023,Google
4/10/2023,Google
4/7/2023,Referral
4/28/2023,Google Adwords - Verified
3/21/2023,Lawn Sign
3/6/2023,Referral
2/22/2023,Direct Mail
3/29/2023,Direct Mail
3/12/2023,Direct Mail
4/13/2023,Google
3/27/2023,DM - OAK
4/7/2023,Truck
2/20/2023,Email
5/1/2023,Google
3/21/2023,Referral
4/1/2023,DM - OAK
3/31/2023,Home Advisor
5/15/2023,Referral
3/10/2023,Referral
4/11/2023,DM - OAK
4/26/2023,Referral
4/12/2023,Home Advisor
2/15/2023,Google
4/5/2023,Truck
4/10/2023,Referral
3/26/2023,Direct Mail
2/28/2023,Direct Mail
3/30/2023,Referral
3/9/2023,Email
3/7/2023,Email
4/7/2023,Google
4/14/2023,Referral
4/4/2023,Google Adwords - Verified
4/14/2023,Google
3/10/2023,Direct Mail
5/5/2023,Email
2/20/2023,Lawn Sign
4/5/2023,Google
3/2/2023,DM - BIRCH
4/17/2023,Facebook
3/20/2023,Referral
4/4/2023,Lawn Sign
4/21/2023,Google
4/7/2023,DM - OAK
3/16/2023,Referral
3/21/2023,Truck
2/27/2023,Direct Mail
4/10/2023,Google
3/1/2023,Google
2/21/2023,Direct Mail
3/24/2023,DM - OAK
3/10/2023,Home Advisor
3/10/2023,Facebook
5/2/2023,Referral
4/6/2023,Google
3/23/2023,DM - OAK
4/4/2023,Referral
4/20/2023,Referral
4/3/2023,DM - ELM
4/6/2023,Lawn Sign
4/6/2023,Google Adwords - Verified
4/27/2023,Referral
3/28/2023,Facebook
4/12/2023,Email
4/4/2023,DM - ELM
4/3/2023,Facebook
2/20/2023,Email
3/6/2023,DM - BIRCH
4/1/2023,Direct Mail
4/6/2023,DM - MAPLE
3/14/2023,Facebook
4/3/2023,Google Adwords - Verified
2/28/2023,Google
4/23/2023,Facebook
3/9/2023,Direct Mail
4/5/2023,Cross Selling GLF/GPS
3/24/2023,Facebook
3/22/2023,DM - OAK
4/8/2023,Lawn Sign
3/17/2023,Google
3/30/2023,Direct Mail
4/3/2023,DM - OAK
4/14/2023,Referral
3/17/2023,Google
5/16/2023,Google Adwords - Verified
3/31/2023,Direct Mail
5/8/2023,Google
4/19/2023,Google Local
4/12/2023,DM - OAK
5/11/2023,Referral
3/4/2023,DM - BIRCH
4/19/2023,Referral
4/12/2023,Direct Mail
4/16/2023,Home Advisor
4/6/2023,Google
3/31/2023,Angi
4/14/2023,DM - OAK
4/4/2023,Direct Mail
3/20/2023,Direct Mail
5/16/2023,Google
4/19/2023,Email
2/27/2023,Direct Mail
3/30/2023,Email
4/8/2023,DM - OAK
5/15/2023,Google Local
4/26/2023,Referral
4/10/2023,Facebook
2/27/2023,Direct Mail
4/6/2023,DM - OAK
4/4/2023,Email
5/11/2023,Facebook
4/12/2023,Direct Mail
4/17/2023,Facebook
4/13/2023,DM - OAK
4/1/2023,DM - ELM
3/26/2023,Direct Mail
4/3/2023,DM - OAK
4/7/2023,Google
4/1/2023,DM - OAK
3/31/2023,Home Advisor
4/11/2023,DM - OAK
5/5/2023,Email
3/2/2023,DM - BIRCH
3/26/2023,Facebook
3/20/2023,Facebook
4/10/2023,Google
3/14/2023,Facebook
3/31/2023,DM - OAK
4/6/2023,Lawn Sign
4/27/2023,Google
3/2/2023,Direct Mail
3/24/2023,Direct Mail
3/20/2023,Google
3/27/2023,Direct Mail
4/2/2023,Direct Mail
5/8/2023,Facebook
2/20/2023,Direct Mail
3/7/2023,Facebook
3/29/2023,DM - OAK
4/4/2023,Google
3/15/2023,Angi
3/6/2023,Direct Mail
3/28/2023,Cross Selling GLF/GPS
4/12/2023,Facebook
4/1/2023,DM - OAK
4/7/2023,Google
4/24/2023,Home Advisor
3/29/2023,Direct Mail
4/10/2023,Referral
4/1/2023,Direct Mail
4/25/2023,Google
3/29/2023,Facebook
3/30/2023,Google Adwords - Verified
4/3/2023,Direct Mail
2/26/2023,Email
3/31/2023,Google
3/8/2023,Direct Mail
4/3/2023,DM - OAK
2/27/2023,Referral
3/20/2023,Facebook
4/11/2023,Direct Mail
5/16/2023,Facebook
4/2/2023,Direct Mail
4/6/2023,Google
4/6/2023,Google
5/16/2023,Referral
2/15/2023,Google
4/6/2023,Referral
3/22/2023,Referral
4/11/2023,Facebook
4/12/2023,Google Adwords - Verified
5/17/2023,Referral
4/25/2023,Home Advisor
4/7/2023,Facebook
3/20/2023,Facebook
4/21/2023,Google
2/27/2023,Facebook
3/13/2023,Facebook
3/13/2023,Google
3/30/2023,Google
4/12/2023,Referral
3/17/2023,Truck
3/13/2023,Referral
3/8/2023,Facebook
4/24/2023,Email
4/14/2023,Referral
4/21/2023,Google Adwords - Verified
3/31/2023,Facebook
5/5/2023,Direct Mail
3/1/2023,DM - BIRCH
4/7/2023,Facebook
3/25/2023,Facebook
3/30/2023,Google
4/4/2023,Google
3/15/2023,Google
3/21/2023,Direct Mail
3/6/2023,Lawn Sign
4/17/2023,Direct Mail
3/30/2023,Google
3/2/2023,Email
2/20/2023,Direct Mail
4/21/2023,Google
3/23/2023,Facebook
4/17/2023,DM - MAPLE
5/8/2023,Google
3/31/2023,DM - OAK
4/12/2023,DM - MAPLE
2/21/2023,Email
3/27/2023,DM - OAK
4/11/2023,DM - CHESTNUT
3/27/2023,Google
4/6/2023,Referral
3/31/2023,Google
3/27/2023,Facebook
3/21/2023,Referral
4/14/2023,Google
3/29/2023,DM - OAK
4/4/2023,DM - OAK
4/18/2023,Facebook
4/14/2023,DM - MAPLE
2/27/2023,Direct Mail
4/17/2023,Facebook
3/6/2023,Direct Mail
4/9/2023,Google
4/1/2023,Google
4/4/2023,Direct Mail
2/20/2023,Email
4/7/2023,Truck
2/22/2023,Direct Mail
2/28/2023,Direct Mail
4/6/2023,DM - OAK
4/2/2023,Direct Mail
3/22/2023,Email
3/14/2023,Google
4/6/2023,Google
3/31/2023,Google
3/30/2023,DM - OAK
4/1/2023,Lawn Sign
4/7/2023,DM - MAPLE
3/13/2023,Direct Mail
4/3/2023,DM - OAK
2/20/2023,Email
4/5/2023,Facebook
3/3/2023,Google
4/25/2023,Referral
3/15/2023,Referral
3/16/2023,Referral
3/8/2023,Referral
2/24/2023,Email
4/9/2023,DM - MAPLE
3/1/2023,DM - BIRCH
3/24/2023,Direct Mail
4/13/2023,DM - MAPLE
3/7/2023,Google
4/25/2023,Facebook
5/12/2023,Referral
4/7/2023,Lawn Sign
4/12/2023,Email
3/10/2023,DM - BIRCH
4/26/2023,Referral
3/15/2023,Direct Mail
3/22/2023,DM - ELM
4/3/2023,Direct Mail
4/13/2023,Direct Mail
3/30/2023,Google
3/15/2023,Referral
3/21/2023,DM - CHESTNUT
4/6/2023,DM - OAK
3/15/2023,Google
4/13/2023,Google
3/28/2023,Facebook
4/5/2023,Direct Mail
4/3/2023,Direct Mail
3/27/2023,Google
5/12/2023,Truck
4/23/2023,Referral
4/19/2023,Referral
3/10/2023,Google
3/14/2023,Google
3/22/2023,Google
4/3/2023,DM - ELM
3/21/2023,Google
2/23/2023,Email
2/27/2023,Email
3/21/2023,Referral
3/16/2023,Google
4/19/2023,DM - OAK
4/13/2023,Email
3/27/2023,Google
5/10/2023,Google
4/29/2023,Direct Mail
4/21/2023,Google
2/21/2023,Google Adwords - Verified
4/6/2023,DM - BIRCH
3/16/2023,Direct Mail
3/4/2023,Google
3/30/2023,Google
4/24/2023,Truck
3/25/2023,DM - OAK
4/3/2023,DM - OAK
2/28/2023,Direct Mail
4/7/2023,Email
4/2/2023,Facebook
3/27/2023,Google Adwords - Verified
4/4/2023,DM - WALNUT
5/10/2023,Facebook
4/6/2023,DM - CHESTNUT
3/3/2023,Google
5/5/2023,Truck
3/14/2023,Direct Mail
3/5/2023,Direct Mail
3/31/2023,DM - OAK
2/21/2023,Referral
4/17/2023,Direct Mail
4/14/2023,Referral
3/6/2023,Email
3/31/2023,Google
3/17/2023,DM - MAPLE
3/20/2023,Home Advisor
2/21/2023,Email
3/2/2023,Direct Mail
4/14/2023,Truck
3/27/2023,Cross Selling GLF/GPS
3/18/2023,Google
4/13/2023,Lawn Sign
3/4/2023,Google
2/24/2023,Email
4/17/2023,Google Adwords - Verified
3/1/2023,DM - BIRCH
3/22/2023,Referral
4/17/2023,DM - OAK
4/14/2023,DM - OAK
3/31/2023,DM - OAK
3/8/2023,DM - BIRCH
4/4/2023,Referral
3/18/2023,Lawn Sign
4/3/2023,DM - OAK
3/23/2023,DM - OAK
3/20/2023,Referral
3/4/2023,Facebook
3/14/2023,Direct Mail
3/27/2023,Referral
3/5/2023,Email
3/22/2023,DM - OAK
4/13/2023,Email
4/12/2023,Google
4/19/2023,Google
4/24/2023,Referral
5/8/2023,Facebook
4/20/2023,DM - OAK
3/21/2023,Facebook
4/21/2023,Referral
4/3/2023,Referral
4/15/2023,Facebook
4/17/2023,Facebook
3/22/2023,Direct Mail
3/1/2023,Google
5/8/2023,Direct Mail
3/4/2023,Facebook
