weather_condition,avg_total,avg_organic,median_total,count,pct_vs_baseline
Partly Cloudy,126.8695652173913,91.91304347826087,128.0,23,9.5
Sunny,124.83544303797468,85.61603375527426,108.0,237,7.7
Rain,110.26984126984127,73.66666666666667,84.0,63,-4.8
Light Rain,108.61666666666666,77.06666666666666,100.5,60,-6.3
Cloudy/Overcast,83.72727272727273,58.54545454545455,55.0,11,-27.7
Snow,47.388888888888886,31.055555555555557,33.0,18,-59.1
