temp_bucket,avg_total,avg_organic,count,pct_vs_baseline
<40°F,62.39393939393939,39.81818181818182,33,-46.2
40-50°F,95.94871794871794,66.25641025641026,78,-17.2
50-60°F,115.0,75.73076923076923,130,-0.8
60-70°F,138.94285714285715,92.54285714285714,105,19.9
70-80°F,133.36,104.66,50,15.1
80+°F,124.5,99.75,16,7.4
