dow,dow_name,avg_total,avg_organic,avg_dm,median_total,count,pct_vs_weekday_avg
0,Monday,180.44262295081967,122.37704918032787,58.0655737704918,172.0,61,27.7
1,Tuesday,144.86885245901638,98.68852459016394,46.18032786885246,136.0,61,2.5
2,Wednesday,138.31147540983608,95.39344262295081,42.91803278688525,122.0,61,-2.1
3,Thursday,127.04918032786885,88.90163934426229,38.14754098360656,117.0,61,-10.1
4,Friday,115.90163934426229,79.44262295081967,36.459016393442624,105.0,61,-18.0
5,Saturday,52.06666666666667,36.18333333333333,15.883333333333333,45.0,60,-63.2
6,Sunday,32.276595744680854,24.02127659574468,8.25531914893617,31.0,47,-77.2
