year,total,days,daily_avg,dm_total,organic_total,dm_pct,yoy_growth
2021,8181,75,109.08,3202,4979,39.1,
2022,8112,82,98.92682926829268,2620,5492,32.3,-0.8434176751008438
2023,8998,85,105.85882352941177,2889,6109,32.1,10.92209072978303
2024,9973,86,115.96511627906976,2748,7225,27.6,10.835741275839084
2025,12478,84,148.54761904761904,3410,9068,27.3,25.11781810889402
2026,316,11,28.727272727272727,3,313,0.9,-97.46754287546081
