feature,importance
day_of_season,0.24969381577062127
week_num,0.19793362988988933
dow,0.13449149407322508
year_trend,0.0739266129399912
is_saturday,0.04863970737825787
temp_max,0.045528487034234705
sunshine_3d_avg,0.044253154911202346
is_weekend,0.039038665252581255
temp_max_3d_avg,0.031886200086924034
temp_change_1d,0.024800717301325898
sunshine_hrs,0.024446955316862376
wind_max_mph,0.02115711223469674
temp_mean,0.020925605060699574
month,0.013710127438631352
sunshine_change_1d,0.011751779919400693
precip_in,0.009049989019340829
bad_streak,0.003196945581793501
weather_quality_num,0.0016073703393659833
nice_streak,0.0013285116412793724
prev_quality_num,0.0010921036900235612
is_snow,0.0008207237393138924
is_pop_day,0.00045723028866856007
is_sunny,0.00021301679540228612
is_rainy,5.004429626828646e-05
snowfall_in,0.0
