date,total_leads,dm_leads,organic_leads,year,month,day,dow,dow_name,week_num,is_weekend,is_saturday,is_sunday,day_of_season,temp_max,temp_min,temp_mean,precip_in,snowfall_in,snow_depth,sunshine_hrs,rain_in,wind_max_mph,solar_radiation
2021-03-29,274,135,139,2021,3,29,0,Monday,13,False,False,False,42,53.1,37.8,45.2,0.0,0.0,0.0,11.681430555555556,0.0,16.9,22.33
2021-03-30,208,64,144,2021,3,30,1,Tuesday,13,False,False,False,43,61.9,37.9,49.6,0.0,0.0,0.0,11.724200000000002,0.0,11.6,22.87
2021-03-31,150,53,97,2021,3,31,2,Wednesday,13,False,False,False,44,63.0,47.9,56.2,0.776,0.0,0.0,0.9020305555555556,0.776,14.0,6.46
2021-04-01,165,47,118,2021,4,1,3,Thursday,13,False,False,False,45,55.0,33.2,42.8,0.138,0.0,0.0,8.765494444444444,0.138,16.4,16.18
2021-04-02,124,43,81,2021,4,2,4,Friday,13,False,False,False,46,42.0,26.9,33.1,0.0,0.0,0.0,10.719236111111112,0.0,13.7,16.88
2021-04-03,80,36,44,2021,4,3,5,Saturday,13,True,True,False,47,50.5,24.4,37.5,0.004,0.0,0.0,11.853344444444446,0.004,7.3,23.8
2021-04-05,365,251,114,2021,4,5,0,Monday,14,False,False,False,49,64.5,40.8,53.2,0.0,0.0,0.0,11.879988888888889,0.0,11.9,23.74
2021-04-06,256,146,110,2021,4,6,1,Tuesday,14,False,False,False,50,67.2,42.5,55.3,0.0,0.0,0.0,11.932761111111112,0.0,9.7,24.12
2021-04-07,229,115,114,2021,4,7,2,Wednesday,14,False,False,False,51,69.4,46.0,56.0,0.02,0.0,0.0,11.641661111111112,0.02,7.1,19.17
2021-04-08,206,92,114,2021,4,8,3,Thursday,14,False,False,False,52,67.8,44.6,54.5,0.0,0.0,0.0,11.983794444444445,0.0,8.1,22.08
2021-04-09,171,79,92,2021,4,9,4,Friday,14,False,False,False,53,62.0,47.1,53.4,0.063,0.0,0.0,5.761519444444445,0.063,8.1,12.08
2021-04-10,68,23,45,2021,4,10,5,Saturday,14,True,True,False,54,69.4,49.4,57.5,0.102,0.0,0.0,5.134136111111111,0.102,8.2,13.0
2021-04-12,263,94,169,2021,4,12,0,Monday,15,False,False,False,56,52.5,44.2,48.4,0.209,0.0,0.0,3.755619444444444,0.209,10.0,11.98
2021-04-13,168,64,104,2021,4,13,1,Tuesday,15,False,False,False,57,62.0,43.2,51.2,0.0,0.0,0.0,9.040605555555556,0.0,5.6,19.28
2021-04-14,146,52,94,2021,4,14,2,Wednesday,15,False,False,False,58,63.1,44.9,53.8,0.087,0.0,0.0,4.0,0.087,7.6,9.72
2021-04-15,121,47,74,2021,4,15,3,Thursday,15,False,False,False,59,61.2,44.4,53.6,0.055,0.0,0.0,6.697744444444445,0.055,10.8,12.38
2021-04-16,115,34,81,2021,4,16,4,Friday,15,False,False,False,60,55.1,37.4,46.6,0.008,0.0,0.0,9.754002777777778,0.008,14.1,15.2
2021-04-17,44,7,37,2021,4,17,5,Saturday,15,True,True,False,61,55.9,40.0,48.6,0.012,0.0,0.0,7.644527777777777,0.012,10.8,16.53
2021-04-19,207,62,145,2021,4,19,0,Monday,16,False,False,False,63,61.1,41.9,51.9,0.008,0.0,0.0,7.949497222222222,0.008,7.4,15.91
2021-04-20,143,28,115,2021,4,20,1,Tuesday,16,False,False,False,64,69.5,44.3,58.2,0.004,0.0,0.0,12.214097222222222,0.004,10.6,22.56
2021-04-21,100,20,80,2021,4,21,2,Wednesday,16,False,False,False,65,64.6,37.6,51.8,0.205,0.0,0.0,11.09465,0.205,17.0,19.01
2021-04-22,98,25,73,2021,4,22,3,Thursday,16,False,False,False,66,46.9,32.1,40.3,0.0,0.0,0.0,10.629525000000001,0.0,16.8,19.12
2021-04-23,79,13,66,2021,4,23,4,Friday,16,False,False,False,67,60.8,33.5,48.2,0.0,0.0,0.0,12.181755555555556,0.0,12.3,26.71
2021-04-24,41,8,33,2021,4,24,5,Saturday,16,True,True,False,68,66.7,42.3,54.9,0.008,0.0,0.0,9.266305555555554,0.008,8.8,22.37
2021-04-26,113,22,91,2021,4,26,0,Monday,17,False,False,False,70,58.9,37.5,48.6,0.0,0.0,0.0,12.744302777777778,0.0,11.9,27.5
2021-04-27,68,13,55,2021,4,27,1,Tuesday,17,False,False,False,71,76.7,41.4,58.9,0.0,0.0,0.0,12.540683333333334,0.0,8.5,26.36
2021-04-28,90,16,74,2021,4,28,2,Wednesday,17,False,False,False,72,84.9,60.3,72.8,0.0,0.0,0.0,11.310816666666668,0.0,13.1,23.22
2021-04-29,94,14,80,2021,4,29,3,Thursday,17,False,False,False,73,78.7,64.0,69.2,0.157,0.0,0.0,3.7406972222222223,0.157,11.4,11.5
